t_ms,x_mm,y_mm,yaw_deg
67481,1554,-1281,-72.3
67582,1559,-1294,-67.8
67680,1565,-1306,-60.7
67782,1573,-1319,-54.1
67882,1583,-1332,-48.5
67984,1595,-1344,-44.8
68082,1606,-1354,-42.2
68182,1617,-1364,-40.6
68282,1629,-1374,-38.2
68382,1641,-1383,-36.3
68482,1656,-1394,-36.8
68580,1675,-1409,-37.7
68683,1695,-1424,-39.9
68782,1714,-1443,-47.4
68882,1733,-1466,-54.4
68982,1748,-1490,-62.0
69082,1757,-1512,-71.6
69182,1762,-1529,-80.9
69281,1763,-1546,-89.3
69396,1763,-1563,-92.0
69488,1761,-1584,-97.5
69588,1759,-1600,-101.4
69682,1755,-1614,-103.7
69782,1753,-1623,-104.3
69882,1752,-1626,-104.9
69982,1751,-1631,-104.6
70081,1751,-1633,-104.6
70182,1751,-1632,-105.3
70282,1751,-1629,-106.0
70382,1751,-1629,-106.0
70485,1751,-1629,-106.0
70582,1751,-1629,-106.0
70684,1751,-1629,-106.0
70784,1751,-1629,-106.0
70884,1751,-1631,-105.0
70985,1751,-1631,-104.9
71081,1751,-1631,-104.9
71182,1751,-1632,-104.7
71282,1751,-1632,-104.7
71382,1751,-1632,-104.7
71483,1751,-1632,-104.7
71582,1749,-1639,-104.7
71682,1746,-1648,-106.1
71782,1744,-1656,-106.8
71884,1741,-1665,-108.4
71984,1738,-1675,-109.7
72084,1734,-1685,-111.5
72185,1730,-1695,-112.8
72284,1726,-1703,-113.7
72382,1724,-1708,-113.3
72482,1722,-1714,-112.7
72585,1720,-1717,-111.3
72682,1721,-1715,-113.0
72782,1727,-1703,-119.9
72882,1732,-1695,-122.7
72982,1732,-1696,-122.3
73099,1730,-1698,-122.3
73182,1730,-1699,-122.3
73287,1730,-1699,-122.3
73383,1729,-1700,-122.8
73482,1726,-1704,-125.6
73589,1719,-1714,-127.4
73682,1708,-1727,-129.5
73782,1696,-1742,-131.7
73882,1684,-1754,-136.8
73982,1672,-1765,-142.4
74082,1662,-1772,-143.7
74182,1652,-1779,-145.8
74294,1641,-1786,-149.8
74382,1629,-1793,-149.9
74482,1616,-1800,-151.9
74580,1596,-1811,-149.8
74688,1571,-1828,-141.8
74781,1551,-1848,-129.0
74881,1536,-1867,-130.1
74980,1520,-1885,-132.1
75080,1505,-1903,-127.6
75181,1490,-1924,-120.5
75281,1484,-1937,-113.2
75380,1482,-1942,-106.2
75481,1482,-1942,-101.2
75580,1482,-1942,-101.2
75682,1482,-1942,-101.3
75781,1482,-1942,-101.3
75881,1482,-1942,-101.3
75981,1482,-1942,-101.3
76081,1482,-1942,-101.3
76181,1482,-1942,-101.3
76281,1482,-1942,-101.1
76381,1482,-1944,-101.0
76481,1482,-1943,-101.0
76581,1482,-1943,-100.8
76682,1482,-1943,-100.7
76781,1482,-1943,-100.9
76880,1482,-1942,-100.9
76981,1482,-1942,-100.6
77082,1482,-1943,-101.0
77187,1481,-1945,-101.2
77287,1481,-1945,-101.2
77399,1482,-1944,-99.3
77519,1482,-1941,-97.3
77581,1482,-1942,-97.3
77681,1481,-1952,-95.1
77792,1480,-1965,-90.0
77880,1480,-1979,-87.4
77980,1481,-1993,-84.5
79498,1503,-2071,-59.6
79499,1511,-2083,-53.4
79500,1522,-2096,-49.1
79501,1535,-2110,-44.8
79501,1547,-2121,-38.2
79503,1558,-2129,-33.5
79503,1655,-2163,-10.1
79586,1680,-2167,-7.1
79708,1714,-2169,-1.4
79781,1745,-2169,0.5
79881,1775,-2169,2.0
79981,1806,-2167,3.8
80091,1835,-2165,4.6
80180,1867,-2162,5.8
80292,1901,-2158,5.7
80381,1938,-2154,8.4
80497,1980,-2147,10.0
80581,2025,-2139,10.5
80680,2068,-2131,10.0
80780,2109,-2123,11.2
80881,2150,-2115,12.0
80980,2191,-2106,13.7
81081,2231,-2095,16.6
81182,2268,-2082,21.4
81281,2305,-2066,27.7
81380,2341,-2044,32.1
81480,2377,-2019,38.4
81581,2413,-1987,43.8
81682,2447,-1952,48.8
81781,2479,-1912,54.4
81882,2508,-1868,59.2
81980,2533,-1821,64.7
82081,2552,-1772,72.4
82181,2564,-1724,79.2
82281,2571,-1678,83.0
82381,2575,-1637,84.8
82490,2577,-1605,88.1
82589,2577,-1573,91.9
82702,2575,-1536,94.9
82781,2572,-1501,95.5
82881,2569,-1471,95.9
82981,2566,-1445,96.0
83081,2563,-1416,96.2
83181,2559,-1383,95.9
83294,2555,-1346,96.7
83396,2551,-1308,96.8
83481,2546,-1271,96.9
83582,2543,-1242,96.0
83680,2541,-1223,94.9
83781,2541,-1219,94.8
85300,2541,-1219,94.8
85300,2541,-1219,94.8
85303,2541,-1219,94.8
85304,2541,-1219,94.8
85305,2541,-1219,94.8
85306,2541,-1219,94.9
85382,2541,-1219,94.9
85493,2541,-1216,92.6
85581,2541,-1216,92.7
85694,2541,-1216,92.5
85780,2541,-1213,91.5
85880,2541,-1213,91.5
85981,2541,-1212,92.1
86080,2540,-1208,95.2
86181,2540,-1208,95.6
86280,2540,-1208,95.6
86381,2540,-1208,95.6
86480,2540,-1208,95.6
86581,2540,-1204,95.6
86681,2539,-1197,95.7
86781,2539,-1191,96.7
86880,2538,-1182,97.0
86980,2535,-1164,97.2
88498,2514,-998,97.1
88501,2507,-946,99.3
88501,2496,-889,99.9
88502,2489,-837,96.4
88503,2486,-793,93.3
88504,2483,-758,95.6
88505,2473,-602,88.0
88581,2475,-571,85.6
88688,2477,-543,84.0
88781,2481,-514,80.0
88880,2489,-481,74.7
88981,2501,-442,71.3
89080,2515,-401,71.8
89180,2524,-369,73.8
89281,2533,-342,70.7
89381,2540,-321,70.7
89480,2548,-299,70.5
89581,2557,-276,69.4
89681,2565,-254,67.3
89781,2574,-233,67.5
89881,2576,-229,67.3
89981,2578,-224,65.0
90079,2584,-212,57.6
90181,2592,-200,57.8
90281,2594,-197,57.8
90380,2595,-196,57.3
90481,2597,-192,53.8
90580,2603,-185,50.3
90681,2611,-175,51.2
90780,2625,-157,51.3
90880,2642,-136,53.4
90980,2662,-110,52.7
